EPDT L1 Heuristic Performance Profile
==================================================

         2857512386 function calls (2370968542 primitive calls) in 819.461 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     1136    0.003    0.000    0.021    0.000 C:\Python313\Lib\json\decoder.py:340(decode)
   148553    0.021    0.000    0.021    0.000 D:\Projects\OQI_Project\Full Optimizer\VRPExample\heuristicapproach\tests\..\algo\epdt_data_structures.py:693(get_pickups)
   148553    0.018    0.000    0.018    0.000 D:\Projects\OQI_Project\Full Optimizer\VRPExample\heuristicapproach\tests\..\algo\epdt_data_structures.py:697(get_deliveries)
    23088    0.015    0.000    0.015    0.000 D:\Projects\OQI_Project\Full Optimizer\VRPExample\heuristicapproach\tests\..\algo\first_level.py:865(<genexpr>)
     1136    0.015    0.000    0.015    0.000 C:\Python313\Lib\json\decoder.py:351(raw_decode)
    15300    0.014    0.000    0.014    0.000 D:\Projects\OQI_Project\Full Optimizer\VRPExample\heuristicapproach\tests\..\algo\first_level.py:800(<genexpr>)
      569    0.003    0.000    0.010    0.000 C:\Python313\Lib\functools.py:544(decorating_function)
      568    0.006    0.000    0.010    0.000 D:\Projects\OQI_Project\Full Optimizer\VRPExample\heuristicapproach\tests\..\algo\route_provider.py:375(_calculate_truck_time)
     1851    0.006    0.000    0.009    0.000 D:\Projects\OQI_Project\Full Optimizer\VRPExample\heuristicapproach\tests\..\algo\second_level.py:237(_calculate_realistic_driver_costs)
    26344    0.006    0.000    0.008    0.000 C:\Python313\Lib\enum.py:199(__get__)
      569    0.003    0.000    0.008    0.000 C:\Python313\Lib\functools.py:36(update_wrapper)
      568    0.004    0.000    0.004    0.000 {method 'fetchone' of 'sqlite3.Cursor' objects}
     2272    0.003    0.000    0.003    0.000 {method 'match' of 're.Pattern' objects}
     1167    0.002    0.000    0.002    0.000 D:\Projects\OQI_Project\Full Optimizer\VRPExample\heuristicapproach\tests\..\algo\epdt_data_structures.py:990(add_route)
    26344    0.002    0.000    0.002    0.000 C:\Python313\Lib\enum.py:1337(value)
       91    0.002    0.000    0.002    0.000 C:\Python313\Lib\random.py:458(choices)
      568    0.001    0.000    0.002    0.000 D:\Projects\OQI_Project\Full Optimizer\VRPExample\heuristicapproach\tests\..\algo\epdt_data_structures.py:870(calculate_travel_time)
       10    0.001    0.000    0.001    0.000 {built-in method builtins.print}
      569    0.001    0.000    0.001    0.000 C:\Python313\Lib\functools.py:504(lru_cache)
      569    0.001    0.000    0.001    0.000 {method 'cursor' of 'sqlite3.Connection' objects}
      568    0.001    0.000    0.001    0.000 D:\Projects\OQI_Project\Full Optimizer\VRPExample\heuristicapproach\tests\..\algo\epdt_data_structures.py:937(_calculate_travel_time_between_points)
     1138    0.001    0.000    0.001    0.000 {built-in method builtins.setattr}
      569    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:645(parent)
      568    0.000    0.000    0.001    0.000 D:\Projects\OQI_Project\Full Optimizer\VRPExample\heuristicapproach\tests\..\algo\route_provider.py:413(get_route_provider)
        1    0.000    0.000    0.001    0.001 D:\Projects\OQI_Project\Full Optimizer\VRPExample\heuristicapproach\tests\..\algo\route_provider.py:121(__init__)
        1    0.000    0.000    0.001    0.001 D:\Projects\OQI_Project\Full Optimizer\VRPExample\heuristicapproach\tests\..\algo\route_provider.py:133(_init_database)
     1167    0.001    0.000    0.001    0.000 D:\Projects\OQI_Project\Full Optimizer\VRPExample\heuristicapproach\tests\..\algo\epdt_data_structures.py:1017(_invalidate_caches)
     2272    0.000    0.000    0.000    0.000 {method 'end' of 're.Match' objects}
     1136    0.000    0.000    0.000    0.000 {method 'startswith' of 'str' objects}
      569    0.000    0.000    0.000    0.000 {method 'rpartition' of 'str' objects}
       17    0.000    0.000    0.000    0.000 {method 'remove' of 'list' objects}
      470    0.000    0.000    0.000    0.000 {method 'copy' of 'list' objects}
       91    0.000    0.000    0.000    0.000 {built-in method _bisect.bisect_right}
      101    0.000    0.000    0.000    0.000 {method 'append' of 'collections.deque' objects}
      183    0.000    0.000    0.000    0.000 <string>:18(__eq__)
       91    0.000    0.000    0.000    0.000 {built-in method math.isfinite}
        1    0.000    0.000    0.000    0.000 {method 'disable' of '_lsprof.Profiler' objects}
       91    0.000    0.000    0.000    0.000 {method 'random' of '_random.Random' objects}
       10    0.000    0.000    0.000    0.000 {method 'add' of 'set' objects}
        1    0.000    0.000    0.000    0.000 {built-in method builtins.any}
        1    0.000    0.000    0.000    0.000 <string>:2(__init__)
        1    0.000    0.000    0.000    0.000 {method 'commit' of 'sqlite3.Connection' objects}
        1    0.000    0.000    0.000    0.000 D:\Projects\OQI_Project\Full Optimizer\VRPExample\heuristicapproach\tests\..\algo\first_level.py:110(<genexpr>)


